"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2010","2010",97.1230804920196,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",97.1230804920196,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",97.1230804920196,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",97.1230804920196,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2021","2021",97.1230804920196,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",88.4231643676758,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2010","2010",66.2521004676819,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",66.2521004676819,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",66.2521004676819,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",66.2521004676819,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2021","2021",66.2521004676819,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2010","2010",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2011","2011",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2012","2012",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2015","2015",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2016","2016",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2017","2017",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2018","2018",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2020","2020",9.6833772957325,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2021","2021",9.6833772957325,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_4","Self-reported depression","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",4.7,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_4","Self-reported depression","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",4.2,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2010","2010",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2015","2015",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2016","2016",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2017","2017",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2018","2018",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2020","2020",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_1","Social support","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2021","2021",95.3938722610474,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","7_2","Time spent in social interactions","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2009","2009",11.303106,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","8_2","Voter turnout ","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2017","2017",81.33831,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2010","2010",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2013","2013",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2014","2014",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2015","2015",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2016","2016",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2017","2017",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2018","2018",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2019","2019",83.5301041603088,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","10_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","YOUNG","Young","TOT","Total population","2020","2020",83.5301041603088,,
