"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2014","2014",74.2,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2017","2017",74.5,"D","Difference in methodology"
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2010","2010",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2011","2011",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2012","2012",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2013","2013",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2014","2014",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2015","2015",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2016","2016",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2017","2017",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2018","2018",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2019","2019",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2020","2020",14.5767986774445,,
"AUS","Australia","HOR","Gap between groups (horizontal inequality)","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2021","2021",14.5767986774445,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2004","2004",56.4,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2005","2005",54.9,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2006","2006",55.6,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2007","2007",57,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2008","2008",53.1,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2009","2009",55.1,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2010","2010",50.4,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2011","2011",53.1,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2012","2012",54.4,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2013","2013",52.9,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2014","2014",51.4,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2015","2015",49.6,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2016","2016",53.1,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2017","2017",49.7,,
"AUT","Austria","HOR","Gap between groups (horizontal inequality)","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","PRIMARY","Primary","2018","2018",54.3,,
